split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
validation,19,decision_tree,100,0.6576863293637557,0.66,0.07638432665374774,0.44680851063829785,0.8157894736842105
validation,19,extra_trees,100,0.8712690096349464,0.8773720014321518,0.04820022663716472,0.7391304347826086,0.9782608695652174
validation,19,hist_gradient_boosting,100,0.8611450112572493,0.8699677938808373,0.05245374058659036,0.7021276595744681,0.95
validation,19,linear_svm,100,0.06737329977086717,0.061553030303030304,0.0374252758563268,0.0,0.18181818181818182
validation,19,logistic_regression,100,0.08318109788774959,0.07921568627450981,0.03895571333211448,0.0,0.17857142857142858
validation,19,random_forest,100,0.8427167358153995,0.8462261616975557,0.05314666031736116,0.7021276595744681,0.9591836734693877
validation,20,decision_tree,100,0.613586929569235,0.6092258748674444,0.0795763265772418,0.375,0.7804878048780488
validation,20,extra_trees,100,0.7092670312308197,0.7074074074074075,0.07551825000323163,0.5,0.92
validation,20,hist_gradient_boosting,100,0.7630276343036101,0.7683363148479427,0.07293601026164617,0.5238095238095238,0.9387755102040817
validation,20,linear_svm,100,0.7368551073861728,0.7391304347826086,0.06784729376019603,0.5454545454545454,0.8666666666666667
validation,20,logistic_regression,100,0.7717761624057026,0.7777615429573349,0.06431525594874236,0.6222222222222222,0.9183673469387755
validation,20,random_forest,100,0.7096222811201232,0.7133072407045009,0.08141914257090023,0.5,0.88
